date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:11:53	139157/139157	---M--	200	added ('OK')	application/octet-stream	etag:%2213e2c2d165c4534b757f13dd25f8c5f4%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/DEOw6zLCet4p932C.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/DEOw6zLCet4p932C.png	(from https://junqianliang.me/p/runningsun.liang/04dbfa53)
15:11:54	65240/65240	---M--	200	added ('OK')	application/octet-stream	etag:%2286174dfd3de072365a3353863fbe97f6%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/FAmFDyrEPtM0GsW6.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/FAmFDyrEPtM0GsW6.png	(from https://junqianliang.me/p/runningsun.liang/04dbfa53)
15:11:54	1032569/1032569	---M--	200	added ('OK')	application/octet-stream	etag:%22e2ebeaa989c4e96fcb47976cc5ab31cb%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/s1xbfvYv4VZh0a2S.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/s1xbfvYv4VZh0a2S.png	(from https://junqianliang.me/p/runningsun.liang/04dbfa53)
15:11:55	190178/190178	---M--	200	added ('OK')	application/octet-stream	etag:%22d11ffe777b8c17a5874e960ed632ba7e%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/jdSyOB4tln6q4T1A.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/jdSyOB4tln6q4T1A.png	(from https://junqianliang.me/p/runningsun.liang/04dbfa53)
15:11:55	55036/55036	---M--	200	added ('OK')	application/octet-stream	etag:%22c95a03d45f5f99171f37971193b7c6f7%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/XqUHpP4JASFKBmY8.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/XqUHpP4JASFKBmY8.png	(from https://junqianliang.me/p/runningsun.liang/04dbfa53)
15:11:56	1724726/1724726	---M--	200	added ('OK')	application/octet-stream	etag:%225ece90de0418131b8f5af3b03f37417f%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/yNyJajfg46LT1iUI.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/yNyJajfg46LT1iUI.png	(from https://junqianliang.me/p/runningsun.liang/04dbfa53)
15:11:56	82603/82603	---M--	200	added ('OK')	application/octet-stream	etag:%225b2463e4d405bd3d0f97d4681d4bce30%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/8lYiKggiUTGbL3Ka.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/8lYiKggiUTGbL3Ka.png	(from https://junqianliang.me/p/runningsun.liang/04dbfa53)
15:11:56	206538/206538	---M--	200	added ('OK')	application/octet-stream	etag:%22458e113f53abfd9f1838d5ded25fc0ee%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/qy9Fe3grbSyeNOpu.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/qy9Fe3grbSyeNOpu.png	(from https://junqianliang.me/p/runningsun.liang/04dbfa53)
15:11:56	62021/62021	---M--	200	added ('OK')	application/octet-stream	etag:%22e34334373eeb3d48fd0dbea2066ae5af%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/Ou2onqqO6MQaFrsp.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/Ou2onqqO6MQaFrsp.png	(from https://junqianliang.me/p/runningsun.liang/04dbfa53)
15:11:57	622362/622362	---M--	200	added ('OK')	application/octet-stream	etag:%22941dcdee93ccb48e3a9bd0cebd2b953e%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/36uMlLRiLD7fFZ7O.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/36uMlLRiLD7fFZ7O.png	(from https://junqianliang.me/p/runningsun.liang/04dbfa53)
15:11:57	192636/192636	---M--	200	added ('OK')	application/octet-stream	etag:%22d53fc7fad753333be2552eb4fe1c4855%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/uRVO7rwfbfSc0F8U.jpeg	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/uRVO7rwfbfSc0F8U.jpeg	(from https://junqianliang.me/p/runningsun.liang/04dbfa53)
15:11:58	714223/714223	---M--	200	added ('OK')	application/octet-stream	etag:%221394dd23dab2ba7c8b6d6d5e40853dd9%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/7u06QLpqbaQf76PM.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/7u06QLpqbaQf76PM.png	(from https://junqianliang.me/p/runningsun.liang/04dbfa53)
15:11:58	47820/47820	---M--	200	added ('OK')	application/octet-stream	etag:%22facfa810cca94c4abde76a13e7597754%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/kKi3ZeKTt0gy3WiX.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/kKi3ZeKTt0gy3WiX.png	(from https://junqianliang.me/p/runningsun.liang/04dbfa53)
15:11:58	353024/353024	---M--	200	added ('OK')	application/octet-stream	etag:%22903d1d84fa4d4091706679729810da43%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/lbGSZwxzTlNvUbnW.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/lbGSZwxzTlNvUbnW.png	(from https://junqianliang.me/p/runningsun.liang/04dbfa53)
15:11:59	450735/450735	---M--	200	added ('OK')	application/octet-stream	etag:%2259fa92c92447b486d86733a3b78a338a%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/WgR53Dzh89e7sbql.gif	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5f957d5d216ce00004dbfa53/WgR53Dzh89e7sbql.gif	(from https://junqianliang.me/p/runningsun.liang/04dbfa53)
